name,filename,group,source,gm_id,scale_id,pga_ms2,rms_acc_ms2,arias_proxy,duration_5_95_s,n_steps,dt,dominant_freq_hz,spectral_centroid_hz,band_0p1_1_hz,band_1_5_hz,band_5_10_hz,band_10_25_hz,sa_t0_ms2,psa_t0p2_ms2,psa_t0p5_ms2,psa_t1p0_ms2,psa_t2p0_ms2,psa_mean_0p1_0p5,psa_mean_0p5_1p5,psa_mean_1p5_4p0,pc1,pc2,train_nn_distance,train_nn_percentile
knet_gm1397_s09,knet_gm1397_s09.txt,train_pool,knet,1397.0,9.0,0.9954,0.10479295759225159,0.6588938376558702,8.3,3000,0.019999999999999574,1.3000000000000276,6.307186758962475,0.03551864340862008,0.7602503505293847,0.17534600244472823,0.028879738063835963,0.9954,1.642765514,1.503549154,1.592311446,0.1957881142,1.6911998737777778,1.5888138426571432,0.12926133372568627,-0.9656847423807209,1.3645721726114788,5.960464477539063e-08,0.0
knet_gm1398_s09,knet_gm1398_s09.txt,train_pool,knet,1398.0,9.0,0.9425,0.1351654670299512,1.0961822086454671,11.86,3000,0.019999999999999574,1.0833333333333564,9.969506298487538,0.0284339365123893,0.2881041319996001,0.20256792436239804,0.48087466575746785,0.9425,1.389769535,1.158244844,1.300837558,0.3162624366,1.6195712984444446,0.8568074782904761,0.16845789873941175,-3.7687393427109783,-2.7006123206431734,1.6858739404357614e-07,0.0
knet_gm1399_s09,knet_gm1399_s09.txt,train_pool,knet,1399.0,9.0,1.0,0.1665392371879278,1.6641190513881738,22.939999999999998,3000,0.019999999999999574,7.300000000000155,7.459429002083518,0.06228338076036802,0.1647067440713055,0.7400113641081066,0.03299560448039488,1.0,3.016330464,0.9845952879,1.582281341,0.2386183214,1.8892974595444443,1.2112349167333336,0.16222920418803918,-2.4663082131336744,-1.6772345219081977,0.0,0.0
knet_gm1400_s09,knet_gm1400_s09.txt,fixed_test,knet,1400.0,9.0,0.98718,0.14979001257704685,1.3462228720698852,22.279999999999998,3000,0.019999999999999574,7.616666666666828,7.4989396258405465,0.029049861885782794,0.10074245779360304,0.8524405008464386,0.017753097775168394,0.98718,1.730134996,0.797311757,0.5775650056,0.2237095501,1.6691844403888887,0.5814554050809525,0.14764050577490198,-3.9327637861905416,-2.1562011819462588,1.5620362492493882,69.06666666666666
knet_gm1401_s09,knet_gm1401_s09.txt,train_pool,knet,1401.0,9.0,1.0,0.08909949974822717,0.4763232513230506,16.499999999999996,3000,0.019999999999999574,4.950000000000105,8.822652164357397,0.0608649473763029,0.33548696317418897,0.4307751380790117,0.17284415366596087,1.0,3.134831995,0.8532383565,0.3558296921,0.2167294881,1.5117223263000001,0.5038893483095237,0.14132581404078434,-4.291801321037724,-0.9189540546486868,0.0,0.0
knet_gm1402_s09,knet_gm1402_s09.txt,train_pool,knet,1402.0,9.0,0.97822,0.13379659532209945,1.0740917351871162,25.559999999999995,3000,0.019999999999999574,2.1000000000000445,5.922791840156316,0.07755723718412255,0.712872936331755,0.18335118749632298,0.02618785190060236,0.97822,2.072055332,2.96319378,0.7267749793,0.4814091041,1.9692659456666668,1.0095110010095236,0.2895202621890196,-0.4425501217157855,0.9355940780671338,0.0,0.0
knet_gm1403_s09,knet_gm1403_s09.txt,train_pool,knet,1403.0,9.0,1.0,0.12052624973063997,0.8715946124479382,26.6,3000,0.019999999999999574,0.6833333333333478,7.409654578188288,0.1616108351318268,0.29048483893715654,0.4659050357285323,0.08195969995643138,1.0,2.612120916,1.251215441,0.7815640143,0.4558162543,1.6597909573444443,0.9622091297095239,0.3048738312372549,-1.7962919382125753,-1.2517379013529102,8.429369702178807e-08,0.0
knet_gm1404_s09,knet_gm1404_s09.txt,train_pool,knet,1404.0,9.0,1.0,0.12095522009392486,0.8778099160781684,14.040000000000003,3000,0.019999999999999574,1.3333333333333617,6.145163317663855,0.041564999536816465,0.7704270975055775,0.15262935890572316,0.035373558892862624,1.0,2.740021379,1.500005907,0.7426000339,0.2863309844,2.3828160947777777,1.0149745767714284,0.15765792553117647,-1.1477343892371563,1.9852714055004552,4.2146848510894035e-08,0.0
knet_gm1405_s09,knet_gm1405_s09.txt,train_pool,knet,1405.0,9.0,1.0,0.17674303161340188,1.8742859534337144,23.299999999999997,3000,0.019999999999999574,0.7000000000000148,5.288378841922382,0.3109298574905418,0.5478331203704746,0.12656623214899215,0.014585093294992064,1.0,2.517891919,1.982257197,1.580251483,0.9922966374,2.2650925547777776,1.7435694178095236,0.5945773988490196,2.200780998770705,-0.4805301703904667,5.960464477539063e-08,0.0
knet_gm1406_s09,knet_gm1406_s09.txt,train_pool,knet,1406.0,9.0,0.98484,0.17459920768079315,1.8290929993656033,20.320000000000004,3000,0.019999999999999574,0.5833333333333457,5.4512292190335305,0.22752505336767664,0.573459127592567,0.1817006414146814,0.016947702314240115,0.98484,2.524586764,2.238806268,1.173367466,0.7289946941,2.5538972155555557,1.4162344151904762,0.5236543231823529,1.237173151611888,0.19094480686230383,0.0,0.0
